Symbol,% GC
FAM107B,43.19
ASIP,44.06
CT45A2,42.84
UTP20,39.31
CT45A8,42.86
TEX53,49.53
AHCY,50.38
FARSB,38.07
LENG1,54.92
TEX48,43.3
TNFSF15,42.53
NDUFA3,53.97
ZC2HC1B,39.82
ATP6V1G1,44.1
CT45A9,42.87
PSMD5,40.53
ZNF729,60.14
RFPL2,50
ZNF676,38.4
CXorf66,39.88
NIPAL1,38.83
SOWAHD,65.51
MAP1LC3A,52.56
RPL39,46.07
HNMT,36.83
P2RX6,56.14
KIR3DL1,48.51
GINM1,42.05
RNF113A,53.22
NDUFA1,42.08
SAMD5,39.37
SPHK1,60.21
PHF19,51.61
PSMB1,39.78
AKAP14,46.85
RDH13,53.06
PDGFRB,54.34
LGR5,38.57
ERVMER34-1,41.3
CORO7,57.56
BCHE,32.29
PIGU,44.54
TSEN34,55.29
RASL11B,47.58
ST3GAL2,51.87
SLC2A12,40.88
GARRE1,47.46
RPS9,50.16
ULBP1,51.88
ADAD1,36.55
NKAP,41.81
COPS8,38.3
SOBP,41.61
RASGRP2,55.63
DYNLRB1,48.33
MBOAT7,55.06
LSMEM1,40.22
ARHGEF26,38.97
ITCH,40.54
WDR27,42.01
NLRP7,49.79
ZNF578,44.09
C14orf132,47.75
C5AR1,49.69
UBE2O,49.84
FCSK,55.18
NOS3,57.59
HES5,68.47
ESRRB,48.69
BCOR,53.23
PPP1R12C,57.68
OSCAR,53.03
PHACTR4,42.87
ERAP1,39.27
CEACAM4,54.13
BDKRB2,50.22
CYGB,56.15
APELA,37.86
CEACAM21,44.66
FOXN3,44.31
TM4SF1,37.6
PRCD,55
TRIM32,43.3
GP6,48.31
CER1,40.2
TRIM60,45.32
CFAP221,41.66
AMTN,37.6
TFPT,55.03
CEACAM7,38.79
ST6GALNAC2,54.09
MMP14,57.24
SLC9A1,51.7
PRPF31,57.07
ADGRD1,51.87
UBE2R2,42.25
SLC16A8,62.47
SLC9A9,39.27
TC2N,37.97
DCAF12,45.99
ZDHHC14,45.59
TMEM121B,60.4
CD37,57.54
ENAM,38.31
IL17RA,50.68
CTSL,45.11
ST6GALNAC1,48.61
TARM1,49.32
UTP3,44.41
LRRC14B,61.59
GINS1,42.37
KIR2DL3,48.11
CCDC127,51.68
RUFY3,39.9
KIR2DS1,48.45
EXOC3,51.23
SFR1,37.96
FREM1,39.43
NEK11,38.71
TRIP11,37.97
RAPGEF4,40.56
ASIC3,63.56
FOXA2,61.96
OGA,41.92
PDE7B,38.31
KIR3DL2,47.13
POLR3F,40.97
SF3B3,43.72
PAFAH2,45.67
HDHD5,50.12
RHBDF2,57.78
KIR2DS2,48.05
SLC9A3,61.24
TULP4,43.15
RBBP9,41.62
FTHL17,58.71
GSPT2,44.72
PTGES2,59.55
BORCS8,54.34
SEC23B,42.97
AJAP1,52.4
YIPF6,41.2
NDUFB1,44.2
AZU1,58.64
CBY1,47.17
KIR3DL3,48.87
CPSF2,39.58
PRTN3,58.02
PTAFR,48
ZNF10,40.03
CDK5,57.31
KIR2DS1,48.3
SLC25A33,45.52
CNOT3,57.88
PHF10,39.49
OPHN1,39.48
PLPPR3,75.86
GJB3,56.94
TOX4,43.81
MED16,64.29
RBFOX2,39.37
KIR3DL2,47.11
AARS1,49.58
USP17L10,51.98
USP17L11,52.42
USP17L12,52.17
PYGM,56.89
CD22,50.24
USP17L13,52.23
USP17L17,52.29
CEP72,53.78
USP17L18,52.29
USP17L23,54.99
ARL1,39.41
LENG1,54.92
EYA3,39.51
USP17L5,52.42
USP17L27,52.35
USP17L28,52.35
KCNIP2,55.4
USP17L29,52.35
USP17L30,52.35
NLRP7,49.79
USP17L20,52.42
USP17L21,52.23
TMUB1,67.5
USP17L22,52.29
USP17L24,52.35
ELANE,58.58
USP17L25,52.35
USP17L26,52.35
USP17L19,52.17
TPPP,61.67
GIMD1,35.97
SMC5,36.37
CFD,66.14
KIR2DS4,48.29
ASB10,53.7
VSTM1,46.36
METTL3,42.48
NUDT6,37.44
IQCA1L,56.62
ALKBH2,51.05
FCAR,47.46
SEC14L1,46.7
ABCF2,48.3
AIG1,39.66
MAP4K2,56.72
KIR3DL2,48.89
IL2,31.96
VMA21,41.5
MATR3,38.77
ATP6AP1,56.77
TAOK3,39.71
TRIM59-IFT80,36.83
SALL2,48.58
OR13F1,46.35
OR13C4,41.38
OR13C8,44.03
OR13C5,43.89
OR13C2,44.2
TNFSF10,40.83
OR13C9,43.89
HERPUD2,38.61
NIPSNAP3A,36.49
SPIN2B,51.43
VCPKMT,39.75
SEPTIN9,54.73
GP6,48.31
RAP1GDS1,36.01
KATNA1,42.14
NIPSNAP3B,37
SSX5,44.63
SOS2,38.28
CLDN2,46.79
RSBN1L,39.26
MBOAT7,55.06
ABCA1,43.42
SEPTIN10,40.32
DRP2,45.17
NDUFA3,53.97
PHC3,37.75
SMIM26,44.25
OSCAR,53.03
RBCK1,51.27
TMEM60,42.07
TUBE1,34.63
KAZN,45.46
KIR2DL3,48.17
HSFX3,43.91
GGCT,40.54
ZXDA,46.77
MAGEB18,43.9
NLRP2,48.88
KIF26B,44.81
MAGEB6,48.46
MAGEB5,46.1
GGT5,52.05
GRIA3,39.27
ASCL1,51.34
USP30,42.28
CRHR2,53.24
LTV1,39.75
RPS9,50.16
TNFRSF1B,55.4
L2HGDH,40.66
TBR1,47.57
KNDC1,59.37
AFG1L,39.14
TFPT,55.03
SBNO2,62.6
PRPF31,57.07
IL17REL,58.55
RTEL1-TNFRSF6B,59.83
UBE2L3,49.73
DKKL1,50.25
FIGN,36.3
CDKL1,42.91
CPM,41.46
EHD1,54.84
TSEN34,55.29
ADA2,48.88
DYNLT2,38.55
UBE4B,44.12
OR2T4,49.67
TARM1,49.32
OR2T2,53.32
SPO11,36.66
TBL1X,45.27
OR2T1,47.3
OR2T6,50.27
ADAM23,38.27
PPP1R37,55.56
OR2T7,53.18
OR2T3,53.67
UBE3D,38.49
OR2T5,49.52
FGF8,60.21
RPGRIP1,44.47
MEIOC,40.15
RDH13,53.06
PXYLP1,44.59
SLC25A42,52.56
GARS1,38.92
CCDC43,39.85
GPR143,47.19
COX18,40.47
PPP2R5B,54.41
ABTB3,46.12
RAE1,44.53
GFRA1,44.04
ACP7,49.67
DBF4B,47.89
PAIP2,43.58
MYOZ2,36.63
BAG2,38.77
WDR38,57.87
EGFL6,40.94
GPHA2,57.7
OLIG3,54.64
MOB1B,40.16
RAB23,37.65
NCCRP1,56.8
GPR21,45.47
FRRS1L,42.23
MAJIN,45.15
RAB9A,41.6
PLA2G5,44.56
TMEM163,43.72
IFNL1,56.64
OFD1,39.29
ODAPH,42.69
SLC23A1,50.52
MMRN2,55.09
IFT74,37.42
ADAM11,59.33
KIR3DL1,48.42
BATF2,53.1
GMFG,51.1
YAE1,40.07
HMGB2,45.5
LY75-CD302,38.37
LATS1,41.14
COX16,39.51
ARL2,55.28
SNCG,61.44
RBM38,59.97
TMEM170A,44.64
RALA,39.66
PTPRU,51.58
SYNJ2BP-COX16,39.53
FAM25A,49.88
CHST6,49.97
ACOT8,49.07
SHLD2,40.46
CALCR,35.2
FNDC3B,39.76
SAP30,42.24
RPH3A,43.79
CDC42BPG,60.8
SYNJ2BP,39.55
GABARAPL2,47.12
SCRG1,37.62
ADGRA1,59.78
ADAM21,41.62
RGS17,37.44
ADAM20,37.22
MZB1,58.24
MED6,38.94
TERF2IP,42.42
HAND2,55.84
GPAM,39.93
GPKOW,50.86
DACT2,51.15
PRAMEF5,47.48
GJC1,44.78
DUXB,41.62
IGLL1,55
PROB1,66.52
CPHXL,42.66
DNAJC18,44.33
MED28,44.87
HIGD1B,52.45
DEFB121,42.73
AMFR,42.21
MAGEA9,58.25
OR52R1,50.84
PRAMEF18,51.86
LRRC74B,51.97
SLC35F1,38.48
CT47A10,49.53
OR51G1,49.79
DEFB123,44.27
OR51A2,42.99
DEFB124,55.69
SPATA31G1,50.82
OR52J3,45.51
REM1,50.69
OR52E2,44.99
PRAMEF8,50
FAM184B,44.07
OR52E1,43.95
CT47A9,49.53
PAF1,52.37
POLDIP3,49.1
HNRNPCL2,46.14
EFTUD2,46.17
HBB,37.64
PRAMEF25,47.44
TM9SF4,47.43
CWC22,35.05
CT47A8,49.53
HNRNPCL4,46.95
STOML2,53.1
KIR3DL2,47.07
PRAMEF33,47.59
CT47A6,49.41
PRAMEF9,48.05
CT47A5,49.47
DCAF16,39.37
HTR1A,51.9
CT47A4,49.47
HBD,38.32
NCAPG,35.36
CT47A3,49.47
TECTB,43.72
VSTM1,46.36
OGFOD1,40.36
CT47A2,49.47
GJA10,43.01
HBG2,38.97
HSFX2,56.97
RTL8B,51.33
CASP8AP2,42.57
KIF3B,43.82
RTL8C,60.15
TTC9,45.28
ZEB1,36.04
ACSL6,48.14
HBE1,38.96
MED29,52.37
RTL8A,60.16
HECW2,39.13
CEP170,36.27
MAP3K9,44.98
MGAM,39.57
KIR3DL3,48.84
NOL4L,54.44
SMIM10L2B,61.8
ETDB,43.13
CT55,38.82
OR51B4,44.8
OR51B6,45.26
SI,31.26
PI4KA,47.81
OR51Q1,48.45
PLEKHG2,56.66
KIR2DL3,48.06
OR52D1,48.45
ETDA,42.88
KIR2DL4,47.92
UBQLN3,53.25
ETDC,45.56
NOCT,44.82
ZNF449,37.89
TARM1,49.32
ATOSB,54.68
UBQLNL,46.72
SULF2,50.45
OSCAR,53.03
FBXO30,35.27
SMIM10L2A,58.22
TBPL1,37.6
OR52B6,49.31
MGARP,40.47
PRDX4,40.65
TRIM6,44.09
TCF21,47.65
KARS1,45.57
NDUFC1,42.39
GSTA3,42.26
NDUFA3,53.97
TFPT,55.03
PRPF31,57.07
SEC23A,38.8
ACOT9,44.6
GSTA4,40.89
KIR2DS4,48.64
TNFRSF14,63.73
HELZ2,66.08
KIR2DL1,48.42
CNOT3,57.88
CCDC103,52.63
GJB5,54.15
RPS16,50.73
GCM1,42.42
AGO4,41.67
SAXO1,42.63
SLBP,46.71
TUBGCP2,55.7
P2RX7,46.29
OR2B8P,44.35
OR2B6,43.95
RRAGA,51.09
POU6F2,39.45
AKT3,37.28
LENG1,54.92
KIF18B,49.3
ADAMTSL1,38.59
UNC93A,49.13
MBOAT7,55.06
ZBTB8B,45.12
SUPT5H,51.42
TRIM6-TRIM34,41.99
TSEN34,55.29
CTAGE6,41.33
CASZ1,56.73
HIC2,56.17
TTLL2,43.63
YWHAB,40.39
RHBDF1,61.15
RPS9,50.16
GIMAP2,44.17
TRAPPC6B,40.78
GRAP2,44.48
PPP1R3G,53.61
SECTM1,63.33
DNAI1,47.92
GIMAP1,45.7
LETM1,53.78
LILRA3,51.44
ZDHHC6,39.22
APOO,43.27
GIMAP1-GIMAP5,42.98
TMEM176A,57.55
ENHO,62.42
OR56B1,41.33
RIPOR2,41.72
OR52E6,45.07
CNTFR,56.26
RPL22L1,39.31
HBG1,47.33
TTC34,60.14
PABPC1L,47.22
LILRA5,50.59
MRGPRG,68.39
MRGPRE,61.97
PNN,40.64
CXorf58,41.75
CD38,41.09
MMEL1,54.94
RFTN2,40.77
DNALI1,49.25
SDCCAG8,39.81
TEX19,56.37
RPP25L,58.74
DCTN3,49.85
NPRL3,51.23
SPATA16,36.67
LILRA4,49.08
OGFOD3,54.33
ZNF195,41.43
MPP1,41.68
RRAGC,41.36
TMA7B,44.64
FAM246C,67.54
NFAM1,54.9
AREL1,42.31
LAIR1,49.62
EIF4EBP2,43.97
NODAL,51.27
GRIK3,49.63
ZNF280B,41.13
FGFBP1,46.49
EBF3,49.6
ZNF280A,42.95
GALT,50.16
ATP1B3,40.6
FGFBP2,45.48
PRAME,50.06
INHBB,56.09
TOMM34,44.95
ADCK2,50.77
LNPK,35.26
CLK2,50.41
PLA2G2D,50.59
PROM1,43.17
KCNS1,51.72
TEKT3,40.81
C10orf143,46.23
GUCA2B,59.98
GLRX3,42.15
WFDC12,53.22
PANK4,60.71
NDUFB2,43.57
PI3,51.43
RCC2,51.69
IGLV2-33,55.99
SEMG1,41.52
IGLV3-32,57.28
SEMG2,40.7
GGTLC2,58.75
H2AB1,62.52
F8A1,64.67
GMPS,38.82
DEFB116,39.65
DEFB118,41.97
GPRASP1,49.32
HBZ,51.79
KIR3DL3,48.96
DEFB119,42.85
ACSL5,42.88
IGLV3-27,57.42
IGLV3-25,57.69
PMP22,45.45
HBM,58.25
IGLV2-23,60.26
TMEM132D,42.69
PAX1,50.99
IGLV3-22,57.89
ARMCX5-GPRASP2,43.38
IGLV3-21,54.32
GPRASP3,42.71
IGLV3-19,55.26
ZNF341,49.23
IGLV2-18,57.35
MRPS33,41.83
IGLV3-16,55.66
SLC17A8,42.25
HBA2,66.95
IGLV2-14,58.96
ZNF385B,36.95
GTPBP1,51.11
PSMB2,40.99
PKLR,52.59
PRAMEF18,49.39
PRAMEF27,48.08
HBA1,67.26
KIR2DL3,48.09
PLCH2,64.91
DUS4L,37.87
FCF1,40.97
GUCY2F,39.92
HNRNPCL3,43.48
PRAMEF25,47.51
CCL27,51.45
HBQ1,71.71
KIR2DL1,48.35
DDX28,55.37
EEFSEC,47.87
KIR2DL1,50.63
STAC3,51.03
KIR2DL4,48.1
HNRNPCL2,46.09
PRAMEF26,47.47
NXT2,37.39
CCL19,55.24
HNRNPCL4,43.95
PRAMEF9,47.83
SCAMP3,51.95
SLC2A2,36.9
CHCHD10,62.69
SPATA31F1,50
GLYATL1B,37.69
PRAMEF5,47.48
THRAP3,43.71
RALB,46.37
SIGMAR1,57.41
FAM111B,38.92
HES5,68.29
KCNE5,60.69
CPA2,44.64
MMP11,57.83
NFATC3,41.53
YLPM1,39.69
PRAMEF8,50
ACSL4,39.16
PRAMEF33,47.9
PRXL2B,64.59
TIMM50,53.07
DTX4,47.6
ZNF133,40.41
KIR2DL4,47.9
GTF3C5,51.81
GBA1,51.63
CPA4,46.73
BRAP,44.39
DCBLD1,39.51
ASCC2,48.94
MPEG1,46.97
SLITRK3,45.53
KIR3DS1,48.38
CSGALNACT2,38.92
ARL4C,50.41
PADI6,52.07
RASGEF1A,56.42
VWA5A,39.28
EDAR,48.85
PADI4,49.06
LGALS3,44.62
CHPT1,38.42
PHF3,36.07
F13B,34.01
KIR3DL1,48.47
KCNT2,33.86
MEST,44.95
GLUD1,42.02
DLL3,56.84
RHBDL2,44.61
CFHR5,35.25
KIR2DL5A,49.46
CFHR2,35.64
RNF103-CHMP3,40.01
CFAP144,43.92
ICOS,38.26
DLGAP5,39.09
EID2B,48.82
EID2,50.1
TNIK,39.52
KIR2DS5,48.84
TPBG,53.86
KIR2DS1,48.32
TSPYL1,39.87
TBX3,47.3
CHGB,42.65
KIR3DL2,47.1
PNMA8A,52.55
SIM1,39.73
MDH1B,40.6
HCN3,53.79
ZMYM4,38.7
EIF5A,55.3
TRMT6,42.59
PNMA8B,61.56
L3MBTL2,52.38
CALM3,57.51
NUP153,40.21
ENTREP3,57.4
SVOP,45.17
MCM8,39.4
KIR2DS4,48.99
ANHX,53.72
FCAR,47.61
FBXO34,41.22
CEL,59.25
BARD1,36.37
SYCP3,36.71
ATG14,41.78
TALDO1,51.9
SLC25A24,39.44
ZFYVE26,43
CHADL,58.1
RALGDS,58.92
GPR31,50.15
FARS2,42.02
DACT3,54.78
NCR1,49.2
GPS2,56.28
H2AB2,62.44
FABP6,48.54
F8A2,64.79
ATP6V1G3,35.29
TREX2,55.81
SOX10,57.55
FGFR1OP2,35.89
LRFN1,55.91
CRB3,59.94
PTPRC,34.34
GATD1,60.25
NBPF6,45.04
XRCC4,35.2
PRDM13,51.03
CRLS1,39.36
MAFF,56.06
ARSD,48.88
ABCD2,34.96
C1orf216,53.21
DTNBP1,39.93
DENND1C,55.66
ACTL8,48.15
TMEM184B,53.5
YEATS4,39.35
RLF,39.69
NMUR2,37.97
LRRN4,51.07
ARSH,41.03
CTNNA3,36.26
ATRN,40.35
TRPC7,42.52
ARSF,40.73
NLRP7,49.8
PGAM4,50.24
TAPT1,38.85
TAF9B,38.33
DNAJC12,39.64
NLRP2,48.88
CLSPN,42.79
CSNK1E,55.79
ARSL,45.89
GP6,48.31
SIRT1,40.88
CEND1,66.32
ADIPOR2,39.4
GFRA4,62.48
RDH13,53.06
TFAP2D,37.24
TNFSF9,59.2
KIR3DL3,48.86
NEURL4,57.23
UBE2E3,35.61
SMOX,49.87
RNF144B,39.19
CD70,48.3
PXDC1,52.35
INSM2,57.49
AFG2A,37.39
CACNA2D4,50.45
BRMS1L,38.93
DNAJB12,53.01
B3GALNT2,40.22
TICAM2,38.23
SLC25A14,37.86
IYD,41.6
KIR2DS2,48.16
KIR2DL2,48.11
ADAM19,44.66
KIR2DL4,48.1
SLC25A22,65.53
TRIP10,54.01
FBXL15,61.93
PPIAL4F,47.12
SPRY1,48.71
SYT15B,51.38
RABGGTA,57.69
AGAP5,42.19
FERMT1,42.6
NOA1,45.02
ZNF43,34.85
GALNT11,41.23
ZNF100,38.52
SLC22A16,41.33
POLR2B,40.19
LBX1,65.1
FAM25G,49.98
ADAM12,43.11
SLC35E4,50.88
DDO,44.49
DUSP18,47.98
WRNIP1,44.71
ESCO1,41.11
LY75,37.97
GBGT1,54.87
DZANK1,41.71
TCN2,50.7
SERPINB1,43.07
CPSF4,53.24
UBE2QL1,47.07
MED18,46.05
NSUN2,43.29
KCNQ2,61.54
SERPINB6,47.23
ATP5IF1,44.37
NDUFA11,59.01
VMAC,53.24
FUT3,51.88
SESN2,50.07
TAF4,51.47
GTF2A1L,38.06
ACAP1,54.55
ABO,50.14
KIR2DL5A,49.31
KIR2DS1,48.44
PPP4R3A,40.01
KIR3DL2,47.11
CDH4,56.24
ESRP2,59
ATP5MF,53.61
IGFBP7,42.44
GNL2,42.78
GPR119,43.21
PHEX,39.58
ADNP,41.67
REST,43.58
ZBTB4,54.92
ZNF789,47.74
NBPF26,40.7
TENT4A,47.71
GJA4,59.33
LIPK,37.16
PPIAL4A,45.79
NOTCH2NLR,39.31
SURF6,52.81
SH2D3A,51.73
MPP7,38.78
MAPK7,59.22
KIR2DS5,48.82
ZSWIM2,32.66
MORN1,57.29
PLA2G15,53.91
ZNF394,47.92
MCHR1,55.65
LILRB2,57.81
MED22,56.87
WFDC5,51.91
FAM124B,44.16
TUG1,42.03
FAM200A,44.01
EBF4,49.28
ZNF655,42.73
FOXA3,53.2
IRF2BP1,68.55
ESR2,41.74
MYPOP,54.09
TTC22,52.34
SFMBT2,43.68
NANOS2,59.62
ITPRID2,35.83
ANXA5,38.94
PAXBP1,50.76
CCDC61,52.56
SLC7A6,47.81
EPCIP,44.04
HPS4,46.91
MAGEB2,49.11
TTLL9,46.05
MAGEB4,43.14
MYCBP,43.34
APOBEC3A,55.24
MFAP4,56.87
GABRE,46.86
SMIM15,36.56
RPL7A,50.45
HINT1,39.5
DLGAP3,48.62
PGLYRP1,57.65
IGFL3,38.92
RIMS3,51.4
MYT1,54.42
LYRM7,38.04
LILRA3,56.37
EMD,61.82
DMWD,57.64
LILRA5,50.69
GPLD1,43.49
SMIM12,47.94
RNF112,60.03
SH3TC2,42.51
SURF1,53.97
RSPH6A,52.71
ASAH2,38.15
NPBWR2,62.54
BTG3,40.74
TMEM225B,50.04
PCMTD2,44.52
LILRA4,52.65
ZSCAN25,48.45
CZIB,46.99
LRTM2,57.8
PDE6G,55.06
SSTR4,55.86
THBD,54.68
LAIR1,49.4
SURF2,59.58
FRMPD3,45.66
RGS19,63.53
FAM151A,51.79
ZNF426,43.51
INTS3,48.32
DCP1B,38.72
OXLD1,62.12
GART,43.27
CYP3A7,41.43
CCDC137,57.05
LKAAEAR1,74.88
SLC7A6OS,47.19
SURF4,52.38
TRAPPC2,42.18
EMILIN3,62.58
DNAJC28,44.59
LIME1,68.95
FXYD4,54
MRPL12,57.65
ZNF561,44.45
IFNGR2,44.05
GJC3,42.56
HNRNPF,47.68
CNTNAP2,37.52
PHC1,44.13
NAALADL2,35.22
SMPD3,51.02
IGLV1-40,58.8
SLC25A10,63.39
HAUS4,45.59
EXOSC9,37.71
ABHD16B,69.89
IGLV1-44,56.45
TPD52L2,54.36
ALDH5A1,43.1
IGLV3-32,57.28
ZNF280B,41.55
ZNF239,42.81
IGLV5-37,54.03
DNAH7,37.11
IGLV7-43,53.39
TMEM50B,43.27
ZNF485,40.89
IGLV1-36,56.1
ZNF280A,42.95
TMEM35A,44.15
IGLV2-33,55.99
IGLV5-45,53.46
CENPI,40.6
PRAME,50.06
ZNF32,46.5
FSCN2,59.9
SMDT1,45.6
CCNJ,39.76
NDUFA6,48.79
PNPLA2,64.52
OSBPL9,40.08
GABRA6,36.14
HAUS7,58.62
DHX36,35.49
MLYCD,52.83
RECQL5,53.18
CYP2D7,63.25
STKLD1,54.49
PRF1,56.54
REXO4,51.72
OSGIN1,55.7
ADAMTS14,52.96
SRRM3,52.93
ZNF562,43.09
TCF20,46.13
SNCAIP,39.26
YWHAG,44.52
TDP2,38.83
SSC4D,52.75
GATAD2B,44.67
HSDL1,45.07
M6PR,42.37
CRACR2B,66.16
SAT1,43.78
ZP3,50.47
PCBD1,50.57
DPP10,36.62
ACOT13,41.43
SLC27A3,59.39
CACFD1,58.04
TBATA,53.91
FBXL12,50.56
MAGEB1,47.47
TLX1,61.09
OR13H1,45.95
TBC1D7,44.56
SPACA5B,48.72
DNAAF1,47.35
KLRG1,39.18
STARD8,50.28
CALHM2,55.67
TTYH1,58.66
CRPPA,36.76
CCNA2,39.34
DNAJC5,51.41
SLC2A6,61.25
CALHM1,55.96
CALHM3,52.06
EHD2,52.89
PZP,38.2
MLDHR,63.54
CD151,63.31
ADAD2,58.6
BBS7,35.62
SOSTDC1,38.75
FTCD,59.68
PTPN20,36.85
UCKL1,62.53
NOP53,57.2
MAGEB3,49.86
LRRC72,38.88
CXorf49B,60.76
GCNA,44.69
SMDT1,48.41
ACTB,56.77
ZNF512B,63.54
NDUFA6,48.79
LSS,53.38
SLC38A8,52.87
SAMD10,61.55
NCF4,53.23
OPN1MW2,52.91
FITM1,58.51
CTSV,43.13
OR4K2,33.76
LRFN5,34.67
SMIM6,55.57
SEL1L2,40.67
ITGAM,43.36
OR4M1,34.9
OR4K14,33.36
CYP2D6,62.68
MAGEA9B,58.22
OR6J1,49.44
OR14I1,47.47
OR2T4,49.64
LENG8,58.99
OR4K13,38.33
OR2T6,37.4
OR2T1,37.84
OR4K1,36.09
OR2T7,39.32
OR2T2,41.26
SAP30BP,48.58
OR2T3,53.5
OR10G3,42.37
OR2T5,42.34
OR2G6,36.73
OR2T29,39.46
PVALB,51.49
OR2T34,53.61
OR2T10,36.87
FAM236D,59.29
OR2T11,40.15
OR2T35,41.73
OR2T27,39.58
ACTRT1,48.68
CXorf49,60.87
PIKFYVE,37.09
TBX5,45.85
CTAG1B,65.77
RALGAPA1,36.27
TRPC3,37.91
CTAG2,64.74
SPATC1L,51.49
DERL3,61.13
ZNF552,47.58
AMOT,41.97
MACROD2,37.94
EPM2A,37.55
ZNF587B,47.02
LENG9,67.12
CDC42EP5,54
SH3BP1,57.36
ZNF587,46.52
LAIR2,49.2
MECOM,37.45
FSCN1,59.62
INHBC,46.91
RECK,39.23
ZNF417,45.26
SLC2A11,50.84
POLR2L,61.02
GLI1,55.27
KIR3DX1,48.98
FLRT3,35.11
SLC4A9,51.3
ZNF256,48.6
FAM156A,46.56
C19orf18,45.79
OR2T6,50.27
OR2T2,52.92
OR2T4,49.67
MROH8,45.33
SMARCD3,56.14
OR2T7,53.18
OR2T1,47.3
OR2T3,53.5
OR2T5,50.84
CHID1,59.36
NDUFA6,48.32
IL4I1,54.88
L3MBTL1,48.31
FBXL5,37.86
LILRA2,46.62
FIG4,40.3
ARHGAP9,51.85
GNE,43.82
ITGAX,52.2
VWC2L,37.47
CYP2D6,62.74
PAGE3,34.42
LGALS1,56.68
SSX4B,44.94
EPB41L5,38.49
NOL12,54.42
CT47A1,49.56
MPC1L,56.7
DMRTC1B,44.18
DMTF1,35.79
SIGLEC11,52.02
LILRA1,51.13
H3-3B,47.38
PCMTD2,44.58
RPN2,44.36
PLA2G6,51.79
CYP2D6,62.74
ZBED1,49.62
GMPR,47.82
PPP6C,42.35
CD99,47.38
FAM200B,36.56
OPRL1,60.52
ITGAD,51.78
LILRB1,59.43
NPBWR2,62.65
UNK,50.85
UBD,43.31
MYT1,54.58
RABEPK,46.49
VRK3,50.86
ANKHD1,38.44
WBP2,55.06
HSPA5,44.15
MOG,45.68
COX6A2,72.38
ZNF843,49.83
ARMC5,58.18
BST1,43.46
KCNJ5,49.98
ACO1,41.71
MARS1,49.33
C11orf65,38.99
GYPC,50.19
TGFB1I1,60.05
OPN4,58.65
CCDC74B,61.68
BNIP3,49.61
MIF,69.2
CYP2D6,62.74
MZT2B,57.62
POFUT1,47.69
TUBA3E,51.6
XG,45.98
SMPD4,53.96
MYL1,34.55
CYP2E1,45.85
GSTT2B,57.46
NANP,43.42
ZNF337,42.76
TRIM47,65.12
CRYAB,46.12
PARS2,49.79
DDTL,51.61
DDT,54.24
CEP250,47.9
TRIM65,54.86
SULT1E1,33.24
MAP3K13,40.07
ZYG11B,41.29
RAB6C,43.12
ANAPC1,42.42
TPTEP2-CSNK1E,47.79
MRPL38,57.19
KCNJ4,56.52
GSTT4,53.37
SYCE1,51.63
KDELR3,49.55
MAMLD1,44.08
CYP2D7,54.76
TTC4,42.02
CSN1S1,31.44
DDX17,43.03
HSD17B10,51.98
GSTT2,57.72
KLF17,45.39
GSTT1,52.24
SPRN,66.16
PLPP3,41.42
NDUFB6,41.42
ATOH7,53.85
ZFP92,54.32
TEN1-CDK3,50.97
HSPB2,61.03
PBLD,43.3
H2BW1,48.09
HSPB2-C11orf52,45.81
CT45A10,43.39
ANKHD1-EIF4EBP3,38.97
TEN1,49.22
C11orf52,44.3
VSTM1,46.36
PDZD4,56.35
TAF1L,46.61
TOPORS,42.02
MAP4K5,37.27
C22orf15,58.2
SNIP1,43.19
NOTCH1,63.46
DIXDC1,43.29
EVPL,59.41
LILRB4,52.72
CHCHD10,64.1
VEPH1,38.31
HNRNPH3,39.82
SGPP2,41.76
CPT2,44.5
MMP11,57.83
GTF3C4,42.28
APOL5,47.72
PCDH11X,35.82
TST,57.04
CRACDL,46.02
MBD6,57.85
RBFOX2,39.05
AK8,47.94
ELFN2,58.59
EIF4EBP3,55.77
MFNG,56.66
IGKV1D-8,50.15
ADI1,45.5
TANC1,43.43
SMARCB1,50.77
TRAPPC12,48
TARM1,49.32
IGKV3D-7,49.02
ZNF37A,39.11
SPACA9,53.54
NDUFA2,50.91
OSCAR,53.03
SLC5A2,59.32
DYNC1H1,47.38
SRP68,45.92
FOXJ3,38.57
GFI1B,49.15
DND1,57.85
PIP4K2C,46.79
ABCB11,39.4
HNF4A,48.23
TACR2,52.05
CARD10,57.09
ZNF41,43.35
G6PC2,37.37
ZNF473,48.48
NDUFA3,53.97
HARS2,45.87
TFPT,55.03
ZMIZ1,55.32
TMEFF2,35.9
STATH,31.96
PRPF31,57.07
PNMA3,60.7
NKAPD1,40.81
SPC25,39.48
ZNF674,41.87
HLA-F,45.02
AHSP,52.32
HTN1,32.73
SLC49A4,38.04
MNT,61.64
DTX3,55.6
FOXD4,59.72
NOSTRIN,41.08
PSAP,47.65
CNOT3,57.88
ASPDH,62.99
SNTG2,44.83
CRIM1,74.36
METTL16,44.67
CHST2,57.61
CDIPT,56.33
WASHC2C,42.53
PRR27,33.35
LRSAM1,51.44
USP51,43.99
TIMM8B,46.22
DMRTC1,44.14
ARHGEF25,57.71
SEMA5B,50.17
ABCA12,37.18
LRRC4B,55.28
TEX12,36.84
HTN3,32.32
FAM133A,34.03
LENG1,54.89
F9,38.94
COIL,42.99
TMC4,56.2
PAK1IP1,40.66
BCO2,40.07
SYT3,53.83
